level,ug_code,ug_title,code,title
spec,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.05.04,Навигационно-баллистическое обеспечение применения космической техники
spec,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.05.05,Интегрированные системы летательных аппаратов
spec,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.05.06,Системы управления летательными аппаратами
spec,24.00.00,АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА,24.05.07,Самолето- и вертолетостроение
spec,25.00.00,АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ,25.05.01,Техническая эксплуатация и восстановление боевых летательных аппаратов и двигателей
spec,25.00.00,АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ,25.05.02,Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов
spec,25.00.00,АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ,25.05.03,Техническая эксплуатация транспортного радиооборудования
spec,25.00.00,АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ,25.05.04,Летная эксплуатация и применение авиационных комплексов
spec,25.00.00,АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ,25.05.05,Эксплуатация воздушных судов и организация воздушного движения
spec,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.05.01,"Проектирование и постройка кораблей, судов и объектов океанотехники"
spec,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.05.02,"Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов"
spec,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.05.03,"Строительство, ремонт и поисково-спасательное обеспечение надводных кораблей и подводных лодок"
spec,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.05.04,Применение и эксплуатация технических систем надводных кораблей и подводных лодок
spec,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.05.05,Судовождение
spec,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.05.06,Эксплуатация судовых энергетических установок
spec,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.05.07,Эксплуатация судового электрооборудования и средств автоматики
spec,27.00.00,УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ,27.05.01,Специальные организационно-технические системы
spec,30.00.00,ФУНДАМЕНТАЛЬНАЯ МЕДИЦИНА,30.05.01,Медицинская биохимия
spec,30.00.00,ФУНДАМЕНТАЛЬНАЯ МЕДИЦИНА,30.05.02,Медицинская биофизика
spec,30.00.00,ФУНДАМЕНТАЛЬНАЯ МЕДИЦИНА,30.05.03,Медицинская кибернетика
spec,31.00.00,КЛИНИЧЕСКАЯ МЕДИЦИНА,31.05.01,Лечебное дело
spec,31.00.00,КЛИНИЧЕСКАЯ МЕДИЦИНА,31.05.02,Педиатрия
spec,31.00.00,КЛИНИЧЕСКАЯ МЕДИЦИНА,31.05.03,Стоматология
spec,31.00.00,КЛИНИЧЕСКАЯ МЕДИЦИНА,31.05.04,Остеопатия
spec,32.00.00,НАУКИ О ЗДОРОВЬЕ И ПРОФИЛАКТИЧЕСКАЯ МЕДИЦИНА,32.05.01,Медико-профилактическое дело
spec,33.00.00,ФАРМАЦИЯ,33.05.01,Фармация
spec,36.00.00,ВЕТЕРИНАРИЯ И ЗООТЕХНИЯ,36.05.01,Ветеринария
spec,37.00.00,ПСИХОЛОГИЧЕСКИЕ НАУКИ,37.05.01,Клиническая психология
spec,37.00.00,ПСИХОЛОГИЧЕСКИЕ НАУКИ,37.05.02,Психология служебной деятельности
spec,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.05.01,Экономическая безопасность
spec,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.05.02,Таможенное дело
spec,40.00.00,ЮРИСПРУДЕНЦИЯ,40.05.01,Правовое обеспечение национальной безопасности
spec,40.00.00,ЮРИСПРУДЕНЦИЯ,40.05.02,Правоохранительная деятельность
spec,40.00.00,ЮРИСПРУДЕНЦИЯ,40.05.03,Судебная экспертиза
spec,40.00.00,ЮРИСПРУДЕНЦИЯ,40.05.04,Судебная и прокурорская деятельность
spec,44.00.00,ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ,44.05.01,Педагогика и психология девиантного поведения
spec,45.00.00,ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ,45.05.01,Перевод и переводоведение
spec,51.00.00,КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ,51.05.01,Звукорежиссура культурно-массовых представлений и концертных программ
spec,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.05.01,Актерское искусство
spec,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.05.02,Режиссура театра
spec,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.05.03,Сценография
spec,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.05.04,Литературное творчество
spec,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.05.05,Актерское искусство в музыкальном театре
spec,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.05.01,Искусство концертного исполнительства
spec,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.05.02,Художественное руководство оперно­симфоническим оркестром и академическим хором
spec,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.05.03,Музыкальная звукорежиссура
spec,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.05.04,Музыкально-театральное искусство
spec,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.05.05,Музыковедение
spec,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.05.06,Композиция
spec,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.05.07,Дирижирование военным духовым оркестром
spec,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.05.01,Монументально-декоративное искусство
spec,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.05.02,Живопись
spec,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.05.03,Графика
spec,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.05.04,Скульптура
spec,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.05.05,Живопись и изящные искусства
spec,55.00.00,ЭКРАННЫЕ ИСКУССТВА,55.05.01,Режиссура кино и телевидения
spec,55.00.00,ЭКРАННЫЕ ИСКУССТВА,55.05.02,Звукорежиссура аудиовизуальных искусств
spec,55.00.00,ЭКРАННЫЕ ИСКУССТВА,55.05.03,Кинооператорство
spec,55.00.00,ЭКРАННЫЕ ИСКУССТВА,55.05.04,Продюсерство
spec,55.00.00,ЭКРАННЫЕ ИСКУССТВА,55.05.05,Киноведение
spec,09.00.00,ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА,09.05.01,Применение и эксплуатация автоматизированных систем специального назначения
spec,14.00.00,ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ,14.05.04,Электроника и автоматика физических установок
spec,15.00.00,МАШИНОСТРОЕНИЕ,15.05.02,Робототехника военного и специального назначения
spec,44.00.00,ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ,44.05.04,Профессиональное обучение (по отраслям)
