level,ug_code,ug_title,code,title
bach,25.00.00,АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ,25.03.04,Эксплуатация аэропортов и обеспечение полетов воздушных судов
bach,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.03.01,Управление водным транспортом и гидрографическое обеспечение судоходства
bach,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры"
bach,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.03.03,"Водные пути, порты и гидротехнические сооружения"
bach,26.00.00,ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА,26.03.04,Инженерно-экономическое обеспечение технологий и бизнес-процессов водного транспорта
bach,27.00.00,УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ,27.03.01,Стандартизация и метрология
bach,27.00.00,УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ,27.03.02,Управление качеством
bach,27.00.00,УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ,27.03.03,Системный анализ и управление
bach,27.00.00,УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ,27.03.04,Управление в технических системах
bach,27.00.00,УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ,27.03.05,Инноватика
bach,28.00.00,НАНОТЕХНОЛОГИИ И НАНОМАТЕРИАЛЫ,28.03.01,Нанотехнологии и микросистемная техника
bach,28.00.00,НАНОТЕХНОЛОГИИ И НАНОМАТЕРИАЛЫ,28.03.02,Наноинженерия
bach,28.00.00,НАНОТЕХНОЛОГИИ И НАНОМАТЕРИАЛЫ,28.03.03,Наноматериалы
bach,29.00.00,ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ,29.03.01,Технология изделий легкой промышленности
bach,29.00.00,ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ,29.03.02,Технологии и проектирование текстильных изделий
bach,29.00.00,ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ,29.03.03,Технология полиграфического и упаковочного производства
bach,29.00.00,ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ,29.03.04,Технология художественной обработки материалов
bach,29.00.00,ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ,29.03.05,Конструирование изделий легкой промышленности
bach,34.00.00,СЕСТРИНСКОЕ ДЕЛО,34.03.01,Сестринское дело
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.01,Лесное дело
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.02,Технология лесозаготовительных и деревоперерабатывающих производств
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.03,Агрохимия и агропочвоведение
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.04,Агрономия
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.05,Садоводство
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.06,Агроинженерия
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.07,Технология производства и переработки сельскохозяйственной продукции
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.08,Водные биоресурсы и аквакультура
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.09,Промышленное рыболовство
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.10,Ландшафтная архитектура
bach,35.00.00,"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО",35.03.11,Гидромелиорация
bach,36.00.00,ВЕТЕРИНАРИЯ И ЗООТЕХНИЯ,36.03.01,Ветеринарно-санитарная экспертиза
bach,36.00.00,ВЕТЕРИНАРИЯ И ЗООТЕХНИЯ,36.03.02,Зоотехния
bach,37.00.00,ПСИХОЛОГИЧЕСКИЕ НАУКИ,37.03.01,Психология
bach,37.00.00,ПСИХОЛОГИЧЕСКИЕ НАУКИ,37.03.02,Конфликтология
bach,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.03.01,Экономика
bach,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.03.02,Менеджмент
bach,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.03.03,Управление персоналом
bach,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.03.04,Государственное и муниципальное управление
bach,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.03.05,Бизнес-информатика
bach,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.03.06,Торговое дело
bach,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.03.07,Товароведение
bach,38.00.00,ЭКОНОМИКА И УПРАВЛЕНИЕ,38.03.10,Жилищное хозяйство и коммунальная инфраструктура
bach,39.00.00,СОЦИОЛОГИЯ И СОЦИАЛЬНАЯ РАБОТА,39.03.01,Социология
bach,39.00.00,СОЦИОЛОГИЯ И СОЦИАЛЬНАЯ РАБОТА,39.03.02,Социальная работа
bach,39.00.00,СОЦИОЛОГИЯ И СОЦИАЛЬНАЯ РАБОТА,39.03.03,Организация работы с молодежью
bach,40.00.00,ЮРИСПРУДЕНЦИЯ,40.03.01,Юриспруденция
bach,40.00.00,ЮРИСПРУДЕНЦИЯ,40.03.02,Обеспечение законности и правопорядка
bach,41.00.00,ПОЛИТИЧЕСКИЕ НАУКИ И РЕГИОНОВЕДЕНИЕ,41.03.01,Зарубежное регионоведение
bach,41.00.00,ПОЛИТИЧЕСКИЕ НАУКИ И РЕГИОНОВЕДЕНИЕ,41.03.02,Регионоведение России
bach,41.00.00,ПОЛИТИЧЕСКИЕ НАУКИ И РЕГИОНОВЕДЕНИЕ,41.03.04,Политология
bach,41.00.00,ПОЛИТИЧЕСКИЕ НАУКИ И РЕГИОНОВЕДЕНИЕ,41.03.05,Международные отношения
bach,41.00.00,ПОЛИТИЧЕСКИЕ НАУКИ И РЕГИОНОВЕДЕНИЕ,41.03.06,Публичная политика и социальные науки
bach,42.00.00,СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО - БИБЛИОТЕЧНОЕ ДЕЛО,42.03.01,Реклама и связи с общественностью
bach,42.00.00,СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО - БИБЛИОТЕЧНОЕ ДЕЛО,42.03.02,Журналистика
bach,42.00.00,СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО - БИБЛИОТЕЧНОЕ ДЕЛО,42.03.03,Издательское дело
bach,42.00.00,СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО - БИБЛИОТЕЧНОЕ ДЕЛО,42.03.04,Телевидение
bach,42.00.00,СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО - БИБЛИОТЕЧНОЕ ДЕЛО,42.03.05,Медиакоммуникации
bach,43.00.00,СЕРВИС И ТУРИЗМ,43.03.01,Сервис
bach,43.00.00,СЕРВИС И ТУРИЗМ,43.03.02,Туризм
bach,43.00.00,СЕРВИС И ТУРИЗМ,43.03.03,Гостиничное дело
bach,44.00.00,ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ,44.03.01,Педагогическое образование
bach,44.00.00,ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ,44.03.02,Психолого-педагогическое образование
bach,44.00.00,ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ,44.03.03,Специальное (дефектологическое) образование
bach,44.00.00,ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ,44.03.04,Профессиональное обучение (по отраслям)
bach,44.00.00,ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ,44.03.05,Педагогическое образование (с двумя профилями подготовки)
bach,45.00.00,ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ,45.03.01,Филология
bach,45.00.00,ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ,45.03.02,Лингвистика
bach,45.00.00,ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ,45.03.03,Фундаментальная и прикладная лингвистика
bach,45.00.00,ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ,45.03.04,Интеллектуальные системы в гуманитарной сфере
bach,46.00.00,ИСТОРИЯ И АРХЕОЛОГИЯ,46.03.01,История
bach,46.00.00,ИСТОРИЯ И АРХЕОЛОГИЯ,46.03.02,Документоведение и архивоведение
bach,46.00.00,ИСТОРИЯ И АРХЕОЛОГИЯ,46.03.03,Антропология и этнология
bach,46.00.00,ИСТОРИЯ И АРХЕОЛОГИЯ,46.03.04,Археология
bach,47.00.00,"ФИЛОСОФИЯ, ЭТИКА И РЕЛИГИОВЕДЕНИЕ",47.03.01,Философия
bach,47.00.00,"ФИЛОСОФИЯ, ЭТИКА И РЕЛИГИОВЕДЕНИЕ",47.03.02,Прикладная этика
bach,47.00.00,"ФИЛОСОФИЯ, ЭТИКА И РЕЛИГИОВЕДЕНИЕ",47.03.03,Религиоведение
bach,48.00.00,ТЕОЛОГИЯ,48.03.01,Теология
